,feature 1,feature 2,feature 3,feature 4,feature 5,feature 6,feature 7,feature 8,feature 9,feature 10,feature 11,feature 12,feature 13
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330177 (Contact 27).mp3,-578.3947912500853,95.60267784627816,-9.777561448636886,10.877006631674071,3.65451600340386,-13.051359175702704,-4.297504222012103,-6.3008875988247475,-0.6316908512752814,-5.9927652481073475,-12.339675290417446,0.2544658808843688,-5.985589071684806
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330017 (Contact 44).mp3,-496.6271078167348,82.24410160089698,-21.354028997703303,10.687937283442121,-2.070278369368196,-25.739082704438378,-14.111969376638893,-16.71257052642923,-7.574575369443525,-3.7674780451160763,-13.165056205962493,-1.682712933280157,1.6892235745186486
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330177 (Contact 32).mp3,-640.3595504242354,160.44838071697023,-28.239563313257776,10.251809850946135,-8.589627419992416,-28.380348923800806,-1.4402745461950057,-11.045499996339954,-0.5704610129756322,-2.1021024284696717,-14.479040122493835,1.3580833871552234,-5.574532186659133
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330017 (Contact 7).mp3,-511.0240914514809,130.4558799095021,-27.28273018671872,-13.339275246895989,-15.307743652324174,-10.328042399770158,6.310347692718566,-14.622811339640867,-4.417380638296376,1.1377952356573062,-9.337740686253817,6.1794632349690986,-1.4750595298392546
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320196 (Month 4).mp3,-343.16655984595343,93.40851125227152,-10.153306091963774,18.465603631573238,-13.730389897125471,-5.208063852794353,-11.550088701235463,6.5459534714520995,-10.72945764934052,-14.667878857105581,-17.163335853287133,0.7293105829793872,-15.752366604172897
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330004 (Contact 29).mp3,-534.8706402764627,115.44483740954679,-46.809321612939755,-10.369772781716936,0.7748347159633866,-14.945035470677011,-5.112209576690857,-14.592048569553391,-5.8327984172221985,3.6453841839152825,-2.4788873973928935,4.699845425754811,1.2671523134534624
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320194 (Month 16).mp3,-405.0056309191698,91.55236726013159,-14.212590231317652,5.956034892651271,-8.910057900446605,4.80815332887438,-4.575492354355393,0.6701454236906376,-8.079033587217348,5.738375695364211,-2.689066704651065,-6.049519568800304,-16.341697271936802
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320113 (Month 20).mp3,-389.58214800893984,105.5936813482135,19.379752597762632,11.940836968698475,7.042115568319192,-13.579217894154842,-9.682882295448964,-9.42308016372736,-11.011207956963304,1.061404706101472,-3.582926922771742,-8.008991571115786,-0.40499187682150334
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330122 (Contact 10).mp3,-462.11509457006446,132.88339292208084,-62.892536328577116,-19.672110966914854,10.749185344092634,-26.113221845558655,-28.041141127349317,-15.77780161393634,-2.8940840585231125,-0.9078849965514285,-6.104591221044506,0.4722203322913519,1.2591858651701862
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330019 (Contact 5).mp3,-514.462275780096,73.81773589467194,-43.56435418699562,-7.792142717007469,-8.941729266114601,-16.262995227270505,2.0310561013701163,-4.771185847752164,2.8254092451694497,2.070076833500153,-5.5816649841268875,9.464149056686638,2.1054251337352072
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320149 (Contact 55).mp3,-553.6487156409826,123.3378660052995,-26.798976881490077,-13.377445815667292,-20.02526403365383,-17.84043497237523,-4.244387630980357,-26.64518984624316,-10.500421981640987,-0.8562214059094341,-17.87849876829946,-3.3362384066537225,-0.8435975979811589
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330223 (Contact 14).mp3,-656.9376777623988,81.23006853982764,-57.63777466423496,21.165205326736185,13.246853773395584,-27.350350992055965,-2.750957702054608,-12.699876050281496,-11.323551827691297,5.431565300215485,-10.247330287143471,-7.620305002760215,3.7229613446150442
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X320162 (Month 4).mp3,-280.89186015782263,112.10411808295713,-20.559653901662077,21.023935842915527,-15.766952736741256,-6.543325263642772,-11.53219732557899,-2.9677471399996036,-6.362620292278599,-3.9828764344738907,-11.705890138402397,-1.2333006246790708,-4.633328584183094
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330097 (Contact 9).mp3,-357.00351195674796,121.09725740844135,-49.63563286620129,22.84427616946376,3.8054827058084584,-37.945472313291035,-13.460443650279295,-13.659138366554227,-6.527967626800453,-7.677677337494122,-8.052345749358349,6.625694157967665,-9.221330682496198
/n/home02/ematsumoto/cough_mp3_full/Files_12_mp3/X330316 (Contact 3).mp3,-288.9425615281285,121.16432840205158,-79.8352980070279,2.5892652774076432,20.245393779339587,-14.540702767145048,-16.197418531045567,-37.84675567270607,-20.54861584570731,-6.507835419214712,-25.137239739391386,-11.758922892184202,-4.299699337583743
